Geo_FIPS,Geo_QNAME,Geo_NAME,TOTAL POP_DEMOGRAPHICS,WHITE_POP,BLACK_POP,AMERICAN INDIAN_POP,ASIAN_POP,NATIVE HAWAIIAN-POP,OTHER_POP,TWO RACES _POP,TOTAL NUMBER HOUSEHOLD_INCOME,<10K,10-15K,15-20K,20-25K,25-30K,30-35K,35-40K,40-45K,45-50K,50-60K,60-75K,75-99K,100-125K,125-150K,150-200K,>200K,MEDIAN HOUSEHOLD_INCOME,OWNER HOUSEHOLD_MEDIAN INCOME,RENTER HOUSEHOLD_MEDIAN INCOME,TOTAL HOUSING UNITS ,OWNER HOUSING UNITS,RENTER HOUSING UNITS,WHITE OWNER HOUSING UNITS,NON WHITE OWNER HOUSING UNITS,MEDIAN HOUSE VALUE (OWNER),,OTHER ,"Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: With Either a Second Mortgage or Home Equity  Loan, but Not Both","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: With Either a Second Mortgage or Home Equity  Loan, but Not Both: Second Mortgage Only","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: With Either a Second Mortgage or Home Equity  Loan, but Not Both: Home Equity Loan Only","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: Both Second Mortgage and Home Equity Loan","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: No Second Mortgage and No Home Equity Loan","Owner-Occupied Housing Units: Housing Units with a Mortgage, Home Equity Loan,  or Similar Debts: Home Equity Loan Without A Primary Mortgage",Owner-Occupied Housing Units: Housing Units Without a Mortgage,1 PERSON HOUSEHOLD,2 PERSON HOUSEHOLD,3 PERSON HOUSEHOLD,4 PERSON HOUSEHOLD,5 PERSON HOUSEHOLD,6 PERSON HOUSEHOLD,7 OR MORE PERSON HOUSEHOLD
25017351101,"Census Tract 3511.01, Middlesex County, Massachusetts",Census Tract 3511.01,3373,2733,84,0,221,0,168,167,1532,34,44,12,9,8,21,0,19,38,121,83,137,173,277,183,373,127295,170446,115234,1607,565,1042,502,63,895700,,,491,27,13,14,0,457,7,74,634,479,229,91,42,44,13
25017351102,"Census Tract 3511.02, Middlesex County, Massachusetts",Census Tract 3511.02,2081,1531,19,0,197,8,44,282,1006,10,15,0,2,12,31,8,7,2,95,117,156,66,59,159,267,114063,,109079,1104,374,730,270,104,945100,,,282,27,0,27,42,213,0,92,307,541,79,57,0,8,14
25017351203,"Census Tract 3512.03, Middlesex County, Massachusetts",Census Tract 3512.03,4290,3351,44,0,705,0,42,148,2198,104,12,17,61,61,0,0,24,32,90,161,122,173,120,535,686,172750,177574,172688,2306,599,1707,485,114,961400,,,463,30,0,30,0,433,0,136,886,681,446,164,21,0,0
25017351204,"Census Tract 3512.04, Middlesex County, Massachusetts",Census Tract 3512.04,3981,2622,378,16,479,0,193,293,1917,42,22,0,13,32,63,35,31,20,43,206,214,233,214,172,577,128438,222644,100286,2099,645,1454,519,126,961700,,,449,60,6,54,0,379,10,196,660,776,269,143,69,0,0
25017351300,"Census Tract 3513, Middlesex County, Massachusetts",Census Tract 3513,4394,3442,288,2,316,0,132,214,2100,40,169,131,46,16,16,14,90,0,59,52,245,187,70,344,621,123125,213241,94444,2193,494,1699,434,60,995600,,,406,91,0,91,0,315,0,88,910,531,328,285,0,33,13
25017351403,"Census Tract 3514.03, Middlesex County, Massachusetts",Census Tract 3514.03,3822,2250,449,0,385,0,217,521,1734,126,101,88,0,33,49,42,0,72,19,124,164,185,115,156,460,111934,205052,83393,1793,537,1256,346,191,836600,,,399,52,10,42,0,347,0,138,497,658,369,130,51,29,0
25017351404,"Census Tract 3514.04, Middlesex County, Massachusetts",Census Tract 3514.04,3669,2099,280,0,597,0,219,474,1498,60,43,78,103,33,0,9,23,110,30,126,139,163,44,249,288,99519,74375,105098,1607,605,1002,389,216,727200,,,469,30,8,22,0,427,12,136,399,514,289,210,51,0,35
25017351500,"Census Tract 3515, Middlesex County, Massachusetts",Census Tract 3515,2517,1257,213,0,244,0,540,263,1389,157,94,21,9,56,47,33,43,168,41,48,147,185,65,70,205,69063,111587,47097,1464,422,1042,274,148,661600,,,320,30,20,10,0,261,29,102,639,536,128,49,26,0,11
25017352101,"Census Tract 3521.01, Middlesex County, Massachusetts",Census Tract 3521.01,3428,1731,182,0,1136,0,8,371,2023,149,72,55,22,0,33,0,76,78,202,105,162,146,123,311,489,114408,,115082,2468,336,2132,120,216,856800,,,211,32,18,14,0,179,0,125,1043,809,108,44,19,0,0
25017352102,"Census Tract 3521.02, Middlesex County, Massachusetts",Census Tract 3521.02,2849,2086,26,0,509,0,56,172,1371,21,16,16,0,37,12,0,27,7,36,43,139,206,37,208,566,171745,188500,171536,1594,646,948,381,265,1015400,,,414,52,17,35,0,324,38,232,416,658,173,64,8,48,4
